book_id,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher
45,Computer Networks Vol. 5,Guido van Rossum,2.97,1699069444,5364678009483,fra,915,25167,3832,1994-04-13,Future Learn Publications
46,Mastering SQL Vol. 5,John Smith,1.78,8800153855,1466442823290,ita,715,13220,3905,2003-07-26,Open Knowledge Press
47,Design Patterns Vol. 3,John Smith,1.5,8238325775,3040373338754,fra,129,17151,2441,2014-05-07,Global Education Press
48,Effective Java Vol. 3,Ian Goodfellow,2.02,2256584584,4193613290395,spa,68,29138,4057,1997-05-27,Academic House
49,Design Patterns Vol. 4,James Gosling,2.6,3056800882,9587799889010,heb,139,27309,3795,2024-01-03,Academic House
50,Design Patterns Vol. 2,Martin Fowler,4.87,3574248723,9067851686865,heb,395,20600,2750,2021-10-31,Academic House
51,Introduction to Algorithms Vol. 1,Thomas H. Cormen,4.08,2336500510,6419777889097,eng,1096,26172,2214,2004-07-20,CodeMasters
52,Artificial Intelligence Basics Vol. 1,Robert Martin,2.37,2415107386,6267144616726,fra,178,13779,2755,2003-10-21,TechBooks Publishing
53,Computer Networks Vol. 5,Martin Fowler,1.01,2232541625,2375170763836,ita,456,37319,827,1991-08-25,TechBooks Publishing
54,Data Structures in C Vol. 1,Thomas H. Cormen,2.66,8994650017,3529999659807,heb,134,10775,2128,2018-01-28,Future Learn Publications
55,Computer Networks Vol. 4,Bjarne Stroustrup,1.9,8718199308,3256776309617,deu,84,17790,1542,2005-01-22,TechBooks Publishing
56,Clean Code Vol. 1,James Gosling,1.62,1876502812,5070662870016,heb,422,49273,3915,2021-07-29,Global Education Press
57,Design Patterns Vol. 5,Andrew Tanenbaum,1.75,9308398158,4268977907231,deu,686,12598,4686,1998-08-28,Academic House
58,Introduction to Algorithms Vol. 3,Jane Doe,4.72,8519671078,1897142374539,heb,485,48685,4552,2005-04-07,Future Learn Publications
59,Artificial Intelligence Basics Vol. 5,John Smith,1.73,7629859312,5845886644547,fra,1027,26236,4472,1999-08-20,Future Learn Publications
60,Operating Systems Concepts Vol. 3,John Smith,2.04,5229453491,2306794305267,ita,370,24734,2808,2011-10-20,CodeMasters
61,Effective Java Vol. 3,Ian Goodfellow,1.54,4542077596,1338519777116,fra,504,46779,2501,2018-01-05,Future Learn Publications
62,Data Structures in C Vol. 1,Thomas H. Cormen,1.92,2747050738,5505004778247,heb,1052,46596,1769,1990-04-17,Open Knowledge Press
63,Mastering SQL Vol. 5,John Smith,1.33,9620289097,2341334518092,fra,290,9357,996,1991-05-22,TechBooks Publishing
64,Clean Code Vol. 1,Thomas H. Cormen,2.1,4197774266,3560945120120,eng,756,2316,4765,1999-01-02,Global Education Press
65,Deep Learning Guide Vol. 5,Andrew Tanenbaum,4.34,4210214052,4782119153838,spa,938,47148,3896,1996-09-16,Global Education Press
66,Computer Networks Vol. 4,Thomas H. Cormen,4.53,9204307594,1633925430211,heb,871,11720,2598,2022-06-13,Global Education Press
67,Effective Java Vol. 2,Thomas H. Cormen,4.42,2918579180,1001262828827,deu,57,45406,1874,2021-07-28,Academic House
68,Operating Systems Concepts Vol. 3,Ian Goodfellow,2.84,7891769251,2314365963901,spa,588,46281,2632,2022-08-27,Global Education Press
69,Clean Code Vol. 5,Andrew Tanenbaum,2.9,5374524112,5433778963798,spa,999,41525,4673,2007-10-11,CodeMasters
70,Deep Learning Guide Vol. 5,Jane Doe,2.82,7525837640,7140143494695,heb,533,14813,3985,2009-10-30,Academic House
71,Learning Python Vol. 1,Ian Goodfellow,1.97,6105930060,8340764273684,heb,1188,10590,635,2024-03-13,CodeMasters
72,Learning Python Vol. 2,Bjarne Stroustrup,2.36,8328418732,2601737911580,spa,137,44412,3982,2004-07-30,Future Learn Publications
73,Mastering SQL Vol. 5,James Gosling,3.09,7492388973,3966842539332,deu,100,31156,2013,2015-12-07,Academic House
74,Design Patterns Vol. 1,Martin Fowler,4.27,8925357194,3957295261032,heb,131,10340,1436,2019-03-23,TechBooks Publishing
75,Learning Python Vol. 1,Thomas H. Cormen,1.36,7664163572,5625971548003,fra,615,39847,3498,1994-05-27,Global Education Press
76,Mastering SQL Vol. 4,Guido van Rossum,3.71,3738461158,3681759250091,fra,890,28707,3097,2005-07-24,Open Knowledge Press
77,Design Patterns Vol. 5,Guido van Rossum,2.71,3673946488,7669655970767,ita,96,49570,376,2017-12-03,Future Learn Publications
78,Artificial Intelligence Basics Vol. 4,Bjarne Stroustrup,3.2,8687198247,4130838707490,heb,692,3913,3225,2000-06-26,CodeMasters
79,Operating Systems Concepts Vol. 2,Guido van Rossum,2.74,5012177375,8438356226574,eng,266,1828,4548,2017-11-21,Academic House
80,Introduction to Algorithms Vol. 2,Martin Fowler,3.79,5353686487,8572999096749,fra,161,30761,1580,2008-10-19,Open Knowledge Press
81,Design Patterns Vol. 3,Andrew Tanenbaum,2.93,6748104900,8836978362723,ita,559,924,883,2005-09-23,CodeMasters
82,Computer Networks Vol. 5,Martin Fowler,1.24,5176570690,3287132203329,fra,277,3569,1306,2014-06-06,TechBooks Publishing
83,Introduction to Algorithms Vol. 2,Thomas H. Cormen,3.76,8547075654,7059779746756,eng,110,28029,4299,1997-03-05,TechBooks Publishing
84,Operating Systems Concepts Vol. 1,Robert Martin,3.87,4765367224,5081495414995,heb,684,26186,3891,1996-04-25,CodeMasters
85,Deep Learning Guide Vol. 2,Jane Doe,2.53,9370181091,8624073924119,deu,267,9890,2599,2005-08-08,Global Education Press
86,Learning Python Vol. 1,Jane Doe,3.71,4872486424,1272750534520,heb,549,41748,1688,2014-09-30,Academic House
87,Operating Systems Concepts Vol. 2,Martin Fowler,3.72,1886574003,1543589405229,ita,997,2621,3299,2002-01-29,TechBooks Publishing
88,Introduction to Algorithms Vol. 1,John Smith,4.6,3326592067,7577904091214,heb,139,28819,937,2004-02-11,Future Learn Publications
89,Clean Code Vol. 3,Thomas H. Cormen,2.5,2140679731,1078833882665,spa,1017,2898,2121,1990-06-15,TechBooks Publishing
90,Mastering SQL Vol. 2,Guido van Rossum,4.9,4491115380,7068953574459,ita,998,34593,2294,1996-10-15,Open Knowledge Press
91,Effective Java Vol. 5,Ian Goodfellow,4.51,4139096552,7528930166447,spa,370,46041,1802,1997-11-16,Future Learn Publications
92,Data Structures in C Vol. 5,James Gosling,3.32,9194115813,4952151708607,heb,281,41657,2873,2005-09-15,Global Education Press
93,Learning Python Vol. 3,Bjarne Stroustrup,3.13,2041707617,8823038481573,heb,370,34021,719,1999-04-02,Global Education Press
94,Artificial Intelligence Basics Vol. 5,Jane Doe,1.99,7920589768,6941499154620,spa,503,7035,4357,2013-05-09,Future Learn Publications
95,Data Structures in C Vol. 1,Bjarne Stroustrup,4.34,7556781155,7738708697122,ita,126,5039,3241,2023-06-19,Future Learn Publications
96,Mastering SQL Vol. 1,James Gosling,3.52,3256530734,7737485856969,spa,689,14600,3211,2008-12-16,TechBooks Publishing
97,Deep Learning Guide Vol. 4,Andrew Tanenbaum,4.19,7446446963,8736598134593,spa,256,1334,4386,2019-11-30,TechBooks Publishing
98,Mastering SQL Vol. 1,Andrew Tanenbaum,4.02,6184970847,8788270621942,spa,1182,24110,3961,1997-05-12,Academic House
99,Operating Systems Concepts Vol. 2,John Smith,4.17,5562613017,6642696763242,deu,334,36462,2404,2022-07-19,Academic House
100,Computer Networks Vol. 2,James Gosling,2.27,2848193728,3475312459572,heb,735,37889,869,2002-10-31,Academic House
